Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1993","1993","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1994","1994","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1995","1995","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1996","1996","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1997","1997","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1998","1998","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","1999","1999","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2000","2000","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2001","2001","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2002","2002","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2003","2003","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2004","2004","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2005","2005","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2006","2006","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2007","2007","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2008","2008","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2009","2009","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2010","2010","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2011","2011","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2012","2012","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2013","2013","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2014","2014","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2015","2015","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2016","2016","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2017","2017","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2018","2018","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2019","2019","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","367","Asparagus","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)"
